湖南一小学数学老师猥亵10名小学女生获刑7年，刑满5年内禁止从事教育相关行业
犯罪成本太低了，,3958677884645959,真诚清茶,"[['真不明白，老师周末在外兼职处罚的狠，这种严重犯罪却格外宽容！', 6422985779, '条头叫兽'], ['石头……剪刀布！', 86875136861, '飞鸽升级依玖'], 2]"
为什么不是终身不能从事教师行业？,646143607583180,攀攀宠物定制,"[['实际上上了行业黑名单了没人会要[尬笑]。', 3211009164581504, '潇洒旭日RZ'], 1]"
还不到一个孩子判一年的，心痛,110226643575,黎花爱石榴
天理难容,110520506858,上善若水有方圆,"[['[捂脸][捂脸][捂脸]', 59180661162, '抓思特嘟一特'], 1]"
怎么释放五年后还可从事教，应该终身禁止,6912699439,和syc,"[['实际上上了行业黑名单了没人会要[尬笑]。', 3211009164581504, '潇洒旭日RZ'], 1]"
衡南县大同中学一老师猥亵学生，去年年中的事情，到现在还没有判决下来！,1393811112863820,忘尘莫及0769
太恶劣了！危害极大！处罚太轻了！,3188216526542439,松花江水滴
这种人还传有机会在进教育行业[吐血][吐血][吐血],791259746156264,极客好学花猫U3,"[['实际上上了行业黑名单了没人会要[尬笑]。', 3211009164581504, '潇洒旭日RZ'], 1]"
让这种人永远不录用教育行业,55832052402,杉杉玟
@最高人民检察院 @中央政法委长安剑 犯罪成本也太低了吧,52224357883,不凡面朝大海春暖花开
重罪变成了轻罪[捂脸][捂脸][捂脸][捂脸]一个就足以判20年、必须严惩对孩子的性侵。轻判不足以震慑,3977593712,自然道30957372
这种畜生行为必须无期才能吓到不敢犯，小女孩的一生被毁了,3460868039517991,广东省惠州鹏安发铝艺
终身不能从事教育工作,51552891763,幸运星Gao,"[['实际上上了行业黑名单了没人会要[尬笑]。', 3211009164581504, '潇洒旭日RZ'], 1]"
这犯罪的门槛也太低了吧[困],102802127316,点赞苍穹
判的太轻，而且要终身不能从事教师行业。能做这种事，是人品、人性有问题，就不能再做这一行。,3728818515,青藏高原之罗布林卡
应该终生不得从事教育相关行业,85752540782,半窗斜月
