宗庆后追思会今日举行，杭州下起大雨，街道两旁站满送行市民
很久没有企业家能得到这么多民众的爱戴了,1341829382151278,蓝色秦淮河,"[['不是很久，是从来', 76061401245, '钱'], ['你是没见过褚时健比这个庞大，全国企业家都发声，全国很多人坐飞机过去街道全部是人', 58860496240, '上进的铅笔'], ['这些人当年都是通过褚发了大财的，和老百姓对宗庆后的怀念不一样', 3312151222552272, '江州大司马'], ['其实就不是一样的人', 4332294112, '小心38693242'], ['精辟，不过你说的，大多数人不知道内情，知道的只是媒体洗过的。', 74720042396, '幸运远山FS'], ['那是人脉关系广，都是合作的人去', 3690527837, '肉食者糜'], ['群众的眼睛是雪亮的，虽然老人家走了，但是他活在人民心里[祈祷][祈祷][祈祷][祈祷][祈祷][祈祷][祈祷]', 52429079505, '月球原住民在未来'], ['以后也基本不会有了', 4358080785037563, '敏锅的咸鱼翻身记678'], ['已经不具备这样的条件了，现在一家企业要做大，就必须引进资本，资本家可不干这些好事，坏事他们干起来，可得心应手了。', 281111588525907, '幸福冰淇淋8mA'], ['做人有情有义，这才符合中华民族的价值观，而不是挣钱挣了财富多少，这是那些富翁们可望不可及 的。', 111174585454, '雪满前川'], ['胡雪岩', 64057595856, 'try988'], ['不恰当的比喻', 99404279178, '往事悠悠80'], ['还真不一样', 4332294112, '小心38693242'], ['宗老就是我们心中的《有的人》[祈祷][祈祷][祈祷]', 4694358907, '自在荷叶3A1'], ['万一老曹老任立地成佛了呢？', 1684071939313700, '小黄豆yy'], ['老任有可能！老曹有啥？玻璃？', 111184684603, '真许仙'], ['时势造英雄！(当下国内最有良心的富豪企业家！！！)', 43595314770479, '和蕨类植物同时代'], 17]"
有几个企业家能做到这样？,4011462604109984,我有一个儿时的梦,"[['目前唯一吧好像！以前有过普通大众为企业家送行的吗我印象没有。', 2220633197649624, '生来为鹰'], ['整个中国不会超过5个', 4358080785037563, '敏锅的咸鱼翻身记678'], ['对，当下中国能和宗老比肩的企业家几乎没有！', 1996309891127992, '诗意溪水yujianbo'], ['任总', 97444685067, '心如止水'], ['对对！汗颜', 1996309891127992, '诗意溪水yujianbo'], ['估计不会有这多人给老任送行。', 2000751630761000, '小猫不吹牛'], ['日月神教还是差了', 935028420251407, '那一树的茶花'], ['应该会更多，他是民族英雄', 109821328304, '运筹帷幄冰淇淋ye'], ['卵[奸笑]', 756118030923727, '细腻达拉斯6r'], ['政治家更没有', 5412281300, 'Cx19820608'], ['不多。霍英东和荣毅仁是国家出面，死后哀荣。民间哀荣的，目前只有这一个', 52142493087, '诸葛暗畅谈史海长河'], ['有几个人能做到', 398452768378761, '直爽小羊uO'], ['[祈祷]', 77447061394, '亲切河流5'], ['除了霍英东，就是宗董能这样受老百姓爱戴。', 5390685178, '春天的田野'], 14]"
全国这样的企业家不超过10个，宗老是个了不起的人，值得所有人吊念。,6978085600,仁爱花猫eV
看的出来国人并不是真的仇富！,50025477357,天乐天语,"[['仇为富不仁', 4319358490275246, '尼乌斯'], ['仇的是资本，吸血鬼，仇的是分配不公', 1973004683984653, '优美鲸鱼3'], 2]"
说明做人真的可以，得到这么多人的肯定，难得的民营企业家,3948581600,开心墨斗鱼,"[['有一个企业家到处捐款就是不给员工涨工资她是谁[捂脸]问问王健林就知道了', 1293487500965135, '可靠云朵2A'], ['到处捐款也是做好事 捐了近200亿了，比宗庆后捐的多', 52137147552, '大鱼你在哪'], ['卖玻璃的', 6053065384, '乐乐呀窝'], ['人品[赞][赞][赞]', 108905910623, '奇妙雪梨Mq'], 4]"
人民怀念的是有血有肉有情有意的企业家，而不是那些为富不仁者。,1022967901071395,洒脱葡萄tro
所以说老百姓并不仇富，讨厌的只是那些为富不仁的人,57860499497,寂静的烟火66889900,"[['做好自己吧 别天天仇呀讨厌的 谁都跟你没关系 你仇个啥呀', 3927875185290320, '淡泊的水滴9r'], 1]"
宗老口碑好，老天爷都落泪了！,91685603733,青山绿水c1105,"[['[赞]', 99091214003, '进取菠萝qi'], 1]"
良心老板，民营企业家的骄傲和楷模,937211302516413,沙漠胡在喀什,"[['不仇富，人家真正脚踏实地干出来的，为社会做了那么大的贡献，自己生活那么简朴！民众仇的是为富不仁的人', 4230513498273716, '薇子读书'], 1]"
虽然不是他的员工，我羡慕他的员工，遇上好领导[赞],4397658380195102,有趣的铅笔Pp,"[['建房给员工住，这点就胜过很多老板', 2412761774819928, '自信盖州0A2'], 1]"
贫民的这一举动，能说明了什么？？？,58636138735,天马行空fyg,"[['说明老百姓不仇富', 50735764811, '胆子不够大'], ['有情有义有情怀才是做人的大格局——这点才能在历史中能被中国人在文化上认同，而不是富豪们在银行里阿拉伯数字。', 111174585454, '雪满前川'], ['为什么说贫民！！', 6114175192, '悠哉悠哉79842861'], ['平民不是贫民', 16815300227, '崔海波20'], ['说明老百姓心中有杆秤，不是仇富', 5131646628, '犀利发言'], 5]"
有这么多市民前来吊言，宗老这一生值了。,97955923641,3991488824861
这是娃哈哈产品，以后大家多买就可以了，多支持宗老！,110148306832,醉春池锔瓷金缮修复,"[['真不知道娃哈哈有这么多产品，能否把图片清晰放大点，谢谢', 2985929522024750, '幸运小鱼SE'], 1]"
感动 宗老一路走好,81041605023,温柔小红花yG,"[['这才是社会主义的企业家！中国永远不欢迎资本主义企业家！！！', 6753938970, 'U型锁锄奸锄谍队028区'], 1]"
于东来 任正非 崔培军 ……好的企业家也很多,5985934764,365天365首老歌,"[['多吗？再往下数', 105892930916, '淡泊的远山XD'], ['对的', 83868717077, '聪慧的阿牛'], 2]"
