摆摊拾荒16年捐款百万男子胡雷因奶奶去世、情绪崩溃发文：我无家可归了，特别累了
身残志坚，捐赠100万，这是他多年少的拾废品，一点一点的攒下的，是一般人做不到的，心地善良的人好人，保重身体。,91648668368,齐鸿运,"[['把钱留着养老不香吗', 3095841849475293, '勇往直前'], ['确实 捐出去的又有多少钱能真正落实到贫困地区呢？唉，祝这个大好人好运吧[祈祷]', 1368212972245831, '耻高气昂'], ['无私无畏大爱无疆[祈祷][祈祷][祈祷]', 105545333787, '骑着蜗牛游尘世'], ['[赞][赞][赞]', 91648668368, '齐鸿运'], ['[赞][赞][赞]', 91648668368, '齐鸿运'], ['[赞][赞][捂脸]', 91648668368, '齐鸿运'], ['[赞][赞][赞]', 91648668368, '齐鸿运'], ['[赞][赞]', 91648668368, '齐鸿运'], 8]"
胡大哥能来深圳吗？我的家就是你的家！不清楚怎么样能联系到本人，我真的希望能给他一个温暖的家！,2286588829118302,执着的书签Fi
可以想像他的孤独，唯一的亲人去世对任何正常人来说都是非常非常大的打击与绝望。希望他能找到“光”，能吸引与照亮他前行。而本来他就是“光”，要知道光的周边是黑暗的，所以光也需要温暖与陪伴或寄托。我们那有对老人在晚年失去了儿子、儿媳、一个孙子，独居守着旧屋，很好的人，都活到了九十多，一晚上老人（男）摔倒，妻子无力拖动也无能扶起，连呼救都无人（半夜，居边有房但无人居住或老人，老人行动难），然后不久（十来分钟）就去世了，老人守着去世的丈夫到早晨（怕老鼠啃尸）。想想那得多绝望？老人（男）入土不久，活着的老人也在不久的白天坐在椅子上去世了，俩老在晚年承受了太多的刮心失亲之痛，但互相扶持活着，而当其中之一失去后，另一个人是精神与心都死了的。就像现在很多人都希望自己死在伴侣或亲人之前，也都希望伴侣或亲人长命百岁健健康康，因为有的痛那是刮心切心之疼,111132718351,用户9452093807104
又是一位来人间渡人的仙者！,4278022891,行路的人,"[['泪目，把生命的价值用完就告别了！先生功德无量！[赞][流泪]', 3345343866, 'wifi需要改造'], ['说的有道理！', 1999367666675434, '心存善念'], ['九世轮回劫！', 109976758475, '另类物种'], 3]"
此时，他捐助过的人是不是该来安慰安慰他关心关心他,3149420690946415,心兰相随XLXS,"[['他捐的都不知道进谁口袋了，用没用到困难的人身上都不知道', 50990024295, '无人想你1'], ['大家一起关心他挂念他！', 53211609684, '美丽的勇敢前进者'], ['有人吗？', 106784158852, '真诚微风mG'], 3]"
有的人拥有不多却乐于分享，有的人家财万贯却为富不仁！愿好人一生平安！[灵光一闪],108606056282,舍我其谁13579
先生大义，物欲横流的时代，拒绝广告，拒绝直播带货，真正纯粹伟大，脱离了低级趣味的人。衷心希望您身体健康，长命百岁！,110247531672,尘埃落定2014,"[['不要给他带这么高的帽子，我倒希望他带货，最起码以后的生活好过点，甜一点。', 2217033096067751, '半夏peng'], ['其实接点好的产品也未尝不可', 88094733284, '唐小爱'], ['是的，这是心中有大爱的人[祈祷][祈祷][祈祷][祈祷]', 99422930481971, '微风细雨慢慢走'], 3]"
身体残疾，理应得到政府部门的照顾。,435005807135308,聪颖的栩栩如生,"[['文中提到了，有政府补贴 好心人资助', 6856204477, '奋斗De小何'], 1]"
希望有正儿八经的媒体采访考察报导而不是网红或者自媒体,3856724295428292,培楠的修行人生,"[['人民日报，央视都有报道，你没留意罢了！人间正道是沧桑', 94346308314, '清华Aaa'], ['央视新闻，人民日报官网我都去搜了，没有胡雷报导，你应该看的是自媒体说的被央视，人民日报点名，感动中国人选也没有', 3856724295428292, '培楠的修行人生'], 2]"
伟大的人格！感动并致敬…！祝早日走出阴霾，多保重！！！,2458115798479384,胜利在望2021,"[['心中有大爱，祝他一生平安', 99422930481971, '微风细雨慢慢走'], 1]"
胡雷帮助过的人，你们不能来关心一下么？？？,82785943276,真诚浮生若梦,"[['他好像都是捐给ZF的，没有直接对个人', 109118501738, '菲特捌'], 1]"
谁信拾荒能达百万？,55832052402,杉杉玟,"[['肯吃苦的人能拾荒达百万', 110076895555, '自在的认真的柑桔'], ['你捐多少？', 52120909964, '舍得丶舍得'], ['拾荒16年[灵光一闪]', 3243181434, 'Kunsalin'], ['那有几个底层老百姓捐款百万的？人家在奉献。你在质疑人家钱的来路？你是杠精？还是仇视？', 1103556256209101, '流氓80后'], ['你真的是个很可悲的人', 277529161371230, '无忧的明镜xM'], ['人家16年啊，你不信可以自己去查证，别胡放炮', 94474409084, '大城小爱'], ['不看完就评论？', 2163444515088903, '艾特比特犬'], 7]"
涿州去年发大水期间，胡雷不远千里来捐赠，感谢[赞][赞][赞],2233857593837693,自由的芒果XA,"[['是的，我也看见了那篇新闻，小小的人，大大的卡车 全是他的物资', 99422930481971, '微风细雨慢慢走'], ['这是目前为止，我唯一敬佩的人[赞][赞][赞]', 2233857593837693, '自由的芒果XA'], 2]"
人世间的一股清泉,4405460580,清新旭日LhW,"[['在物欲横流的时代是多么的可怜无助和无言', 24846811112, '气温请问企鹅'], 1]"
这是菩萨精神，这是人间菩萨，利益别人，舍己为人，无私奉献。[玫瑰][玫瑰][玫瑰],94757868834,收藏大杂烩
相比这样的人，我觉得自己就是行尸走肉。,1530157094156632,莫笑渔樵,"[['有勇气说真话真心不错', 51036857920, '特立独行的刘彦'], ['行尸走肉人上人，掩耳盗铃一生死。[叹气]', 6223693532, '用户名沈梅珍'], 2]"
胡先生身残志坚，楷模也！,1679694007898968,才思敏捷呆子,"[['可证一往来，际断寂月照。[呲牙]', 6223693532, '用户名沈梅珍'], 1]"
这世界破破烂烂，还靠您缝缝补补。您是那一轮明月，清辉洒满人间。[玫瑰][玫瑰][玫瑰],4136786076369896,聪慧豆浆CZ
他不像某些人打着慈善的幌子发个人横财，他把自己拥有的和别人捐给他的都捐出去了，这是一个大公无私的圣人,104957380118,碧波秀士,"[['百尺竿头莫情怯，瓶水天云任逍遥。[呲牙]', 6223693532, '用户名沈梅珍'], 1]"
致敬胡雷先生，你是能感动国人的活菩萨，身残志坚的平凡人。为你点赞！,110385403790,何意德,"[['身残志坚[赞][赞]愿好人有好报，一生平安！[祈祷][祈祷]', 1481760481488280, '正能量春风4ui'], 1]"
先生大义，我们仰望。先生有家，家叫中国。,30423521178459,千岛湖山居
致敬胡雷先生,52700353143,北京上海灯光音响大屏
您是伟人啊,52224357883,不凡面朝大海春暖花开
先生高贵的灵魂,105168189009,星光不问追梦人
有的人拥有不多却乐于分享，有的人家财万贯却为富不仁！愿好人一生平安！[灵光一闪],108606056282,舍我其谁13579
这才是真正的无产阶级的榜样。,1789608673675827,清爽橙子nrm
身残志坚，捐赠100万，这是他多少年拾废品，一点一点的攒下的，心地善良的人好人，保重身体！,1824821312237748,智者云朵RW
我们是不是也应该帮一帮先生！先生大意就苍生确救不了自己孤独的心。,3680604139,九尾小妖狐狸
人间真的有圣人[赞][赞][赞],4407259741299070,洛邑之子
感动中国栏目组哪去了？真值得全国人民感动了，又不评了？,1480391841548541,随机生成的名字太无聊
