顽强漂流瓶088,自在生活的路人,,52015104001,MS4wLjABAAAAfmEqaBKi-OI9ZG2c1JPmlhQGQ0PTAuK5Nr8tIUXNofs,32,29,22,0,0,0,29,3,0.90625,0.6875,5,0.15625,0,13000,46,852
勇敢的心149838596,,,54852943873,MS4wLjABAAAAtwOvSPVGQeeUeSPFglDNJtS8ujmkc1vd9zqPTEbA4J8,46,46,14,0,0,0,46,0,1.0,0.30434782608695654,1,0.021739130434782608,0,7744,36,203
煮酒论英雄001,"篮球领域资深媒体人！NBA资深老球迷！每日分享更多篮球资讯！欢迎大家关注、评论、点赞和支持！",,71029555203,MS4wLjABAAAANzMTyi4oM_yUMd8RK0bMbSqohZIX2rMdAzIwoGSR970,4335,4321,3941,36,3,0,4260,36,0.9967704728950404,0.9091118800461361,2880,0.6643598615916955,0,95000,4806,798
理智爱国不当小学生,,,84975648770,MS4wLjABAAAAAxxpP79hThDydUvueg1pF6MbCNSDi7AKz__jatpypPw,40,2,37,0,1,0,1,38,0.05,0.925,0,0.0,0,17000,69,102
执着的铅笔oP,爱钓鱼的人,,1965532447244296,MS4wLjABAAAA9oPQfcDVGQPdNhaQ-WkdutQyjBR7q2_MNGi4Alq3nlYJ4UoXJCJdFNvpmiW4yY8Z,19,19,15,0,0,2,17,0,1.0,0.7894736842105263,1,0.05263157894736842,0,6436,33,444
market7758,,,1842400762527756,MS4wLjABAAAAZH2-n548X1SgWi6MpbDCTlHtwNgeazhR5wjh_hEAzLTRISJ47G_4nOoNGCSD-JcD,9,8,2,0,0,0,8,1,0.8888888888888888,0.2222222222222222,0,0.0,0,1504,8,335
你姥爷始终是你姥爷,,,1767629022298125,MS4wLjABAAAAiatIreshHi0Qo5xJDdOlujsQbrEk_HUTWNBljOpR6h0sD-aG-640eryK1JAkMQWf,15,15,5,0,0,0,15,0,1.0,0.3333333333333333,0,0.0,0,14000,10,8
雨后小彩虹,,,1093328071294989,MS4wLjABAAAASqkNBKCNQXEhAIaUMDyWLUfKi-SbRme5WDUIpahfu7QFIqCwWtpcpZFKaESifDhL,12,12,1,0,2,3,7,0,1.0,0.08333333333333333,1,0.08333333333333333,0,105,1,1
微风,航空爱好者,,52904722459,MS4wLjABAAAAnf5djXE3yyuW76hDIgMxOLqV9oYM2fmy1Tfo3NPHL24,3,3,2,0,1,0,2,0,1.0,0.6666666666666666,0,0.0,0,10,10,12
你一定要喊吗,闲人,,3846799388,MS4wLjABAAAAwhOGBXmsKyNhze-rTIexbrBmHQPI9km2Sb0ZvkDyISI,12,11,11,1,0,0,10,1,0.9166666666666666,0.9166666666666666,1,0.08333333333333333,0,73000,107,1697
